Geographic Area Name,Estimate!!Total!!Households,Estimate!!Households receiving food stamps/SNAP!!Households,Estimate!!Households not receiving food stamps/SNAP!!Households
"Somerset County, Pennsylvania",29115,4060,25055
"Washington County, Pennsylvania",88544,10618,77926
"Westmoreland County, Pennsylvania",154810,21236,133574
"York County, Pennsylvania",178898,18895,160003
"Kent County, Rhode Island",73182,8594,64588
"Newport County, Rhode Island",38311,3639,34672
"Providence County, Rhode Island",254178,49031,205147
"Washington County, Rhode Island",54044,2831,51213
"Aiken County, South Carolina",67224,7791,59433
"Anderson County, South Carolina",82203,9394,72809
"Beaufort County, South Carolina",76249,4487,71762
"Berkeley County, South Carolina",88092,7096,80996
"Charleston County, South Carolina",169851,12737,157114
"Dorchester County, South Carolina",58435,4359,54076
"Florence County, South Carolina",51484,10665,40819
"Greenville County, South Carolina",212333,16457,195876
"Greenwood County, South Carolina",26577,3340,23237
"Horry County, South Carolina",145335,10879,134456
"Kershaw County, South Carolina",25412,2476,22936
"Lancaster County, South Carolina",38570,2837,35733
"Laurens County, South Carolina",26580,5968,20612
"Lexington County, South Carolina",120968,10611,110357
"Oconee County, South Carolina",34023,4440,29583
"Orangeburg County, South Carolina",32017,5771,26246
"Pickens County, South Carolina",51996,5440,46556
"Richland County, South Carolina",166515,18570,147945
"Spartanburg County, South Carolina",128437,14951,113486
"Sumter County, South Carolina",43191,8287,34904
"York County, South Carolina",113195,7708,105487
"Lincoln County, South Dakota",26565,594,25971
"Minnehaha County, South Dakota",82289,6769,75520
"Pennington County, South Dakota",46296,4175,42121
"Anderson County, Tennessee",31735,3867,27868
"Blount County, Tennessee",55446,2969,52477
"Bradley County, Tennessee",43025,5733,37292
"Davidson County, Tennessee",316273,31132,285141
"Greene County, Tennessee",28585,3681,24904
"Hamilton County, Tennessee",151676,15626,136050
"Knox County, Tennessee",198914,18252,180662
"Madison County, Tennessee",39730,5954,33776
"Maury County, Tennessee",41309,3872,37437
"Montgomery County, Tennessee",84145,8080,76065
"Putnam County, Tennessee",33652,3708,29944
"Robertson County, Tennessee",27233,2638,24595
"Rutherford County, Tennessee",121944,8704,113240
"Sevier County, Tennessee",36670,4537,32133
"Shelby County, Tennessee",366593,59938,306655
"Sullivan County, Tennessee",68804,10524,58280
"Sumner County, Tennessee",77760,6588,71172
"Washington County, Tennessee",56752,5777,50975
"Williamson County, Tennessee",91406,1441,89965
"Wilson County, Tennessee",55047,3610,51437
"Angelina County, Texas",32538,5063,27475
"Bastrop County, Texas",36341,3171,33170
"Bell County, Texas",139582,17733,121849
"Bexar County, Texas",742836,118760,624076
"Bowie County, Texas",34038,2930,31108
"Brazoria County, Texas",130734,10365,120369
"Brazos County, Texas",86154,6701,79453
"Cameron County, Texas",135734,36052,99682
"Collin County, Texas",399810,12086,387724
"Comal County, Texas",67392,2964,64428
"Coryell County, Texas",26980,2944,24036
"Dallas County, Texas",975062,111267,863795
"Denton County, Texas",350081,16560,333521
"Ector County, Texas",64169,7573,56596
"Ellis County, Texas",69223,3872,65351
"El Paso County, Texas",298059,62629,235430
"Fort Bend County, Texas",283446,19395,264051
"Galveston County, Texas",144182,15403,128779
"Grayson County, Texas",56005,4714,51291
"Gregg County, Texas",46766,6383,40383
"Guadalupe County, Texas",61414,5927,55487
"Harris County, Texas",1735020,259586,1475434
"Harrison County, Texas",25866,2798,23068
"Hays County, Texas",94205,5956,88249
"Henderson County, Texas",32576,5297,27279
"Hidalgo County, Texas",268598,83005,185593
"Hunt County, Texas",37206,4694,32512
"Jefferson County, Texas",94828,13714,81114
"Johnson County, Texas",64338,4232,60106
"Kaufman County, Texas",50212,3934,46278
"Liberty County, Texas",29290,4791,24499
"Lubbock County, Texas",124689,13710,110979
"McLennan County, Texas",97065,10252,86813
"Midland County, Texas",66052,5499,60553
"Montgomery County, Texas",232095,21031,211064
"Nueces County, Texas",127624,23534,104090
"Orange County, Texas",31323,4049,27274
"Parker County, Texas",55525,3645,51880
"Potter County, Texas",44472,5642,38830
"Randall County, Texas",56509,3004,53505
"Rockwall County, Texas",39329,1798,37531
"San Patricio County, Texas",25495,4608,20887
"Smith County, Texas",81175,8891,72284
"Starr County, Texas",19460,9764,9696
"Tarrant County, Texas",771657,75131,696526
"Taylor County, Texas",55974,7699,48275
"Tom Green County, Texas",45516,2881,42635
"Travis County, Texas",567627,30250,537377
"Victoria County, Texas",36753,5852,30901
"Walker County, Texas",24704,3877,20827
"Webb County, Texas",78730,20466,58264
"Wichita County, Texas",49071,6841,42230
"Williamson County, Texas",241836,11996,229840
"Wise County, Texas",24449,2866,21583
"Cache County, Utah",43099,1683,41416
"Davis County, Utah",114119,6778,107341
"Salt Lake County, Utah",420303,23127,397176
"Tooele County, Utah",23495,1615,21880
"Utah County, Utah",194258,8464,185794
"Washington County, Utah",68090,3576,64514
"Weber County, Utah",92869,6679,86190
"Chittenden County, Vermont",70730,5579,65151
"Albemarle County, Virginia",45195,891,44304
"Arlington County, Virginia",108396,3091,105305
"Augusta County, Virginia",30186,1611,28575
"Bedford County, Virginia",33397,2343,31054
"Chesterfield County, Virginia",136070,8665,127405
"Fairfax County, Virginia",410660,17388,393272
"Fauquier County, Virginia",26887,1414,25473
"Frederick County, Virginia",34581,1982,32599
"Hanover County, Virginia",42274,2342,39932
"Henrico County, Virginia",137035,10444,126591
"James City County, Virginia",31060,2322,28738
"Loudoun County, Virginia",141935,4355,137580
"Montgomery County, Virginia",37796,2070,35726
"Prince William County, Virginia",154619,8067,146552
"Roanoke County, Virginia",39093,3017,36076
"Rockingham County, Virginia",32551,1611,30940
"Spotsylvania County, Virginia",51179,3190,47989
"Stafford County, Virginia",51007,2028,48979
"York County, Virginia",26641,885,25756
"Alexandria city, Virginia",72024,3815,68209
"Chesapeake city, Virginia",93849,7170,86679
"Hampton city, Virginia",58181,10123,48058
"Lynchburg city, Virginia",28346,3270,25076
"Newport News city, Virginia",77489,12114,65375
"Norfolk city, Virginia",97596,13052,84544
"Portsmouth city, Virginia",40827,7598,33229
"Richmond city, Virginia",99929,15746,84183
"Roanoke city, Virginia",42455,6477,35978
"Suffolk city, Virginia",37383,4145,33238
"Virginia Beach city, Virginia",182775,12129,170646
"Benton County, Washington",76855,13041,63814
"Chelan County, Washington",32050,4380,27670
"Clallam County, Washington",34773,4302,30471
"Clark County, Washington",193919,26908,167011
"Cowlitz County, Washington",43204,8475,34729
"Franklin County, Washington",28989,6648,22341
"Grant County, Washington",35572,7318,28254
"Grays Harbor County, Washington",30500,6395,24105
"Island County, Washington",35976,3179,32797
"King County, Washington",924763,80970,843793
"Kitsap County, Washington",106399,12421,93978
"Lewis County, Washington",32304,5437,26867
"Mason County, Washington",25036,4109,20927
"Pierce County, Washington",347668,43043,304625
"Skagit County, Washington",51971,8210,43761
"Snohomish County, Washington",312365,26174,286191
"Spokane County, Washington",217920,38125,179795
"Thurston County, Washington",117186,15438,101748
"Whatcom County, Washington",92219,12278,79941
"Yakima County, Washington",86992,20787,66205
"Berkeley County, West Virginia",50841,5142,45699
"Cabell County, West Virginia",39631,6931,32700
"Harrison County, West Virginia",26143,3785,22358
"Kanawha County, West Virginia",77634,14586,63048
"Monongalia County, West Virginia",42710,3922,38788
"Raleigh County, West Virginia",29505,6246,23259
"Wood County, West Virginia",35756,6187,29569
"Brown County, Wisconsin",110225,11532,98693
"Chippewa County, Wisconsin",26791,3533,23258
"Dane County, Wisconsin",243924,18910,225014
"Dodge County, Wisconsin",36286,3553,32733
"Eau Claire County, Wisconsin",43253,5322,37931
"Fond du Lac County, Wisconsin",42758,3719,39039
"Jefferson County, Wisconsin",35088,3728,31360
"Kenosha County, Wisconsin",67810,8892,58918
"La Crosse County, Wisconsin",50217,6380,43837
"Manitowoc County, Wisconsin",35716,3821,31895
"Marathon County, Wisconsin",57566,5071,52495
"Milwaukee County, Wisconsin",389434,86203,303231
"Outagamie County, Wisconsin",77071,6105,70966
"Ozaukee County, Wisconsin",36144,2044,34100
"Portage County, Wisconsin",29937,2537,27400
"Racine County, Wisconsin",79068,10648,68420
"Rock County, Wisconsin",67876,9534,58342
"St. Croix County, Wisconsin",36873,2411,34462
"Sauk County, Wisconsin",27524,3135,24389
"Sheboygan County, Wisconsin",49416,4581,44835
"Walworth County, Wisconsin",43086,3695,39391
"Washington County, Wisconsin",56636,3062,53574
"Waukesha County, Wisconsin",167089,9658,157431
"Winnebago County, Wisconsin",72794,7887,64907
"Wood County, Wisconsin",31890,4586,27304
"Laramie County, Wyoming",43728,2629,41099
"Natrona County, Wyoming",33203,2026,31177
"Arecibo Municipio, Puerto Rico",28742,15719,13023
"Bayamón Municipio, Puerto Rico",66385,25775,40610
"Caguas Municipio, Puerto Rico",47586,22207,25379
"Carolina Municipio, Puerto Rico",58930,22906,36024
"Guaynabo Municipio, Puerto Rico",32826,9029,23797
"Mayagüez Municipio, Puerto Rico",27447,15688,11759
"Ponce Municipio, Puerto Rico",50007,26578,23429
"San Juan Municipio, Puerto Rico",135865,53388,82477
"Toa Alta Municipio, Puerto Rico",20918,9548,11370
"Toa Baja Municipio, Puerto Rico",28276,11262,17014
"Trujillo Alto Municipio, Puerto Rico",24898,10208,14690
